Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
111.183.8.139,10.198.0.166,6,22100,1056,58,0.000
10.198.0.166,111.183.8.139,6,1056,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,45100,58,0.000
10.198.0.166,111.183.8.139,6,45100,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9666,58,0.000
10.198.0.166,111.183.8.139,6,9666,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1053,58,0.000
10.198.0.166,111.183.8.139,6,1053,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2288,58,0.000
10.198.0.166,111.183.8.139,6,2288,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7496,58,0.000
10.198.0.166,111.183.8.139,6,7496,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9535,58,0.000
10.198.0.166,111.183.8.139,6,9535,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,35500,58,0.000
10.198.0.166,111.183.8.139,6,35500,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,19315,58,0.000
10.198.0.166,111.183.8.139,6,19315,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3998,58,0.000
10.198.0.166,111.183.8.139,6,3998,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,100,58,0.000
10.198.0.166,111.183.8.139,6,100,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,720,58,0.000
10.198.0.166,111.183.8.139,6,720,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1433,58,0.000
10.198.0.166,111.183.8.139,6,1433,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9110,58,0.000
10.198.0.166,111.183.8.139,6,9110,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1054,58,0.000
10.198.0.166,111.183.8.139,6,1054,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10024,58,0.000
10.198.0.166,111.183.8.139,6,10024,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,179,58,0.000
111.183.8.139,10.198.0.166,6,22100,1247,58,0.000
10.198.0.166,111.183.8.139,6,179,22100,54,0.000
10.198.0.166,111.183.8.139,6,1247,22100,54,0.000
