Source,Destination,TotalBytes,HttpsBytes,Duration,SourceRisk,DestRisk
119.167.166.169,218.106.117.232,217,0,2553.475,0,20
183.95.73.67,119.249.103.180,1216,0,2558.274,0,0
183.95.73.67,112.80.129.163,682,0,2553.869,0,0
58.241.140.66,218.106.117.236,328,0,2554.623,0,55
113.56.147.80,218.106.117.236,1805,0,2554.784,0,55
58.241.71.160,218.106.117.232,250,0,2556.662,0,20
113.5.138.93,218.106.117.236,35927,0,2557.401,0,55
111.206.149.168,218.106.117.232,493,0,2563.095,0,20
211.158.223.61,183.94.22.98,46131,0,2565.189,0,0
112.64.213.158,183.94.22.33,1260,0,2566.430,0,0
157.148.45.141,218.106.117.232,180,0,2572.227,0,20
112.83.140.13,218.106.117.236,30081,0,2567.354,0,55
36.33.205.244,183.94.22.33,4444,0,2569.146,0,0
124.223.121.102,183.94.22.44,1489,0,2571.789,0,0
8.149.243.166,183.95.73.68,808,0,2574.623,0,0
123.6.129.44,218.106.117.236,180,0,2576.184,0,55
123.138.67.15,218.106.117.229,142,0,2577.041,0,0
119.36.34.172,183.94.22.91,833919,0,2577.572,50,20
157.0.146.48,218.106.117.236,468,0,2578.913,0,55
223.167.21.147,218.106.117.232,358,0,2578.956,0,20
202.89.233.96,183.94.22.91,6915,0,2584.197,0,20
125.39.196.254,218.106.117.236,1565,0,2584.393,0,55
58.20.209.159,183.95.73.68,98249,0,2743.294,0,0
34.149.100.209,218.106.117.236,15911,0,2743.404,0,55
